Numéro de la cellule,Centre de la cellule,Surface
1,"(57.78827361563518, 39.42410423452769)",1535
2,"(138.75902004454343, 67.55723830734966)",2245
3,"(228.31483496554225, 159.4570184983678)",2757
4,"(17.8107202680067, 158.47403685092127)",1194
5,"(87.54123711340206, 153.24278350515465)",1940
6,"(178.4858223062382, 324.55671077504724)",1058
7,"(227.07535121328226, 362.1392081736909)",783
8,"(131.08048289738431, 401.1579476861167)",994
9,"(712.4738067520373, 412.12747380675205)",1718
10,"(191.55281090289608, 430.3833049403748)",1174
11,"(385.3885542168675, 442.7808734939759)",1328
12,"(464.2167606768735, 451.9959709911362)",1241
13,"(564.7456843403206, 489.38995067817507)",3244
14,"(60.096802074330164, 475.96888504753673)",1157
15,"(445.0593569661995, 512.8549051937346)",1213
16,"(498.1435239206534, 586.5787631271878)",857
17,"(741.5690607734807, 611.3580110497237)",905
18,"(593.0115350488021, 620.3531499556344)",1127
19,"(798.4149443561208, 612.2209856915739)",629
20,"(434.0, 602.0)",25
21,"(474.14065934065934, 622.6307692307693)",910
22,"(73.19730510105872, 642.5274302213667)",1039
23,"(680.9897959183673, 706.2755102040817)",196
24,"(768.0714285714286, 730.8282172373082)",1694
25,"(102.67056323060574, 740.1880977683315)",941
26,"(851.0885264997088, 769.5521258008154)",1717
27,"(194.17492984097288, 778.1403180542563)",1069
28,"(699.4165232358004, 803.8525530694205)",1743
29,"(104.0023282887078, 838.0500582072177)",859
30,"(773.0350492880614, 884.828039430449)",913
31,"(465.0241789967521, 906.854565138939)",2771
32,"(95.18, 893.8688888888889)",900
33,"(844.1568088033013, 913.6726272352132)",727
34,"(645.7266055045872, 932.6733944954128)",1090
35,"(127.0, 934.0555555555555)",162
36,"(725.4254498714653, 973.4807197943445)",778
37,"(19.938091769847052, 980.8237436270939)",1373
38,"(868.6400651465798, 984.4918566775244)",614
1,"(56.4470509383378, 37.75201072386059)",1492
2,"(138.30181979582778, 66.41455836662229)",2253
3,"(224.42950581395348, 156.39425872093022)",2752
4,"(16.09090909090909, 156.67909090909092)",1100
5,"(87.3403720462544, 150.5761689291101)",1989
6,"(178.1054104477612, 321.64179104477614)",1072
7,"(226.64194373401534, 360.3081841432225)",782
8,"(713.2456140350877, 409.2360446570973)",1881
9,"(129.08639523336643, 401.50347567030786)",1007
10,"(190.675, 430.2133928571429)",1120
11,"(384.0744601638124, 441.8354430379747)",1343
12,"(464.60893854748605, 450.0399042298484)",1253
13,"(565.1670724284845, 486.8761412051126)",3286
14,"(59.09918032786885, 471.4139344262295)",1220
15,"(449.10499139414804, 510.5671256454389)",1162
16,"(498.52797202797206, 584.7902097902098)",858
17,"(740.8076923076923, 609.3031674208145)",884
18,"(793.7107843137255, 605.9362745098039)",612
19,"(592.0296684118674, 619.1221640488657)",1146
20,"(432.1475409836066, 601.0491803278688)",61
21,"(479.9138613861386, 620.3079207920792)",1010
22,"(67.325, 637.323)",1000
23,"(678.7399103139013, 706.0807174887892)",223
24,"(766.8721986674742, 728.7589339794064)",1651
25,"(103.8936170212766, 738.1808510638298)",940
26,"(852.2076344707924, 770.9705031810295)",1729
27,"(192.5468895078923, 775.0779944289693)",1077
28,"(699.8790810157195, 801.0229746070133)",1654
29,"(104.35491329479768, 836.5421965317919)",865
30,"(772.2883977900552, 883.0685082872928)",905
31,"(462.09117221418234, 903.9157018813314)",2764
32,"(95.39400665926748, 890.8712541620422)",901
33,"(843.4886515353805, 911.0894526034713)",749
34,"(644.7747502270663, 930.4050862851952)",1101
35,"(129.1219512195122, 930.1414634146341)",205
36,"(725.457627118644, 973.910411622276)",826
37,"(19.78359908883827, 980.3295368261199)",1317
38,"(867.6938110749186, 983.1026058631921)",614
39,"(742.0, 1022.0)",27
1,"(56.00402414486921, 37.2280348759222)",1491
2,"(137.60260869565218, 66.79521739130435)",2300
3,"(222.46094609460945, 156.02530253025301)",2727
4,"(15.399257195914577, 156.30362116991643)",1077
5,"(87.37012658227849, 151.70632911392406)",1975
6,"(177.8359303391384, 319.8469294225481)",1091
7,"(226.4025316455696, 360.72911392405064)",790
8,"(713.3045092838196, 407.4339522546419)",1885
9,"(127.83883883883884, 402.9159159159159)",999
10,"(189.90616854908774, 431.5829713292789)",1151
11,"(383.7075332348597, 442.66912850812406)",1354
12,"(565.3877551020408, 485.81663113006397)",3283
13,"(464.9739714525609, 450.7951301427372)",1191
14,"(59.09015025041736, 469.75542570951586)",1198
15,"(453.70376301040835, 508.38911128903123)",1249
16,"(497.66396292004634, 583.657010428737)",863
17,"(790.1003134796239, 603.2554858934169)",638
18,"(592.2941176470588, 617.7680672268907)",1190
19,"(738.54802259887, 609.1401129943503)",885
20,"(441.9268292682927, 598.560975609756)",41
21,"(484.2814885496183, 619.1011450381679)",1048
22,"(65.66531850353893, 636.4529828109202)",989
23,"(767.3258160237389, 727.206528189911)",1685
24,"(677.0487804878048, 705.0487804878048)",164
25,"(104.44758909853249, 737.5482180293501)",954
26,"(851.1508791832105, 771.2087351106069)",1763
27,"(191.69677419354838, 773.126267281106)",1085
28,"(700.0656534954408, 802.0085106382978)",1645
29,"(106.43493552168816, 836.8112543962485)",853
30,"(771.6047774158524, 884.3821932681867)",921
31,"(459.93345195729535, 899.0153024911032)",2810
32,"(97.27850877192982, 888.5975877192982)",912
33,"(843.8679245283018, 909.8396226415094)",742
34,"(643.6825672159583, 929.3564614050304)",1153
35,"(131.01069518716577, 933.7967914438502)",187
36,"(728.9643734643735, 971.3820638820639)",814
37,"(19.150336574420344, 980.4293193717277)",1337
38,"(867.6925465838509, 984.3369565217391)",644
39,"(743.0, 1022.0)",21
1,"(57.40649867374005, 36.60610079575597)",1508
2,"(140.02430846605196, 64.84534786253144)",2386
3,"(221.99256637168142, 156.59964601769911)",2825
4,"(15.974182444061961, 154.8235800344234)",1162
5,"(89.569573283859, 153.08163265306123)",2156
6,"(179.20545454545456, 319.19363636363636)",1100
7,"(227.4249684741488, 359.94451450189155)",793
8,"(714.8078310149408, 399.32251416795464)",1941
9,"(128.49308300395256, 407.0622529644269)",1012
10,"(190.484219269103, 432.1594684385382)",1204
11,"(384.51317715959004, 443.0614934114202)",1366
12,"(567.2637770897833, 482.6888544891641)",3230
13,"(467.7444089456869, 450.8985623003195)",1252
14,"(60.69794238683127, 466.73251028806584)",1215
15,"(457.56039009752436, 507.58514628657167)",1333
16,"(495.8972972972973, 582.3405405405406)",925
17,"(789.9438377535101, 601.0951638065523)",641
18,"(591.4508670520231, 617.6036333608588)",1211
19,"(736.3610798650169, 608.2935883014624)",889
20,"(448.0, 597.5)",64
21,"(486.8678733031674, 617.7954751131222)",1105
22,"(61.72903885480573, 635.0674846625767)",978
23,"(675.9371428571428, 703.9314285714286)",175
24,"(767.7275485436893, 726.3574029126214)",1648
25,"(105.61846153846155, 737.3374358974359)",975
26,"(847.239179954442, 767.1554669703872)",1756
27,"(192.83686635944701, 771.4682027649769)",1085
28,"(700.4132132132132, 803.1735735735735)",1665
29,"(109.47045191193511, 836.6871378910777)",863
30,"(772.1118881118881, 883.8881118881119)",1001
31,"(461.50999310820123, 896.2164024810476)",2902
32,"(99.10160427807487, 887.1026737967915)",935
33,"(844.0278128950696, 909.5638432364096)",791
34,"(644.662660944206, 929.381974248927)",1165
35,"(131.92125984251967, 935.1850393700787)",254
36,"(729.2215422276622, 969.4320685434517)",817
37,"(19.73436401967674, 979.4033731553056)",1423
38,"(867.6443148688047, 986.5233236151604)",686
39,"(745.0, 1022.0)",27
1,"(59.011273209549074, 34.35344827586207)",1508
2,"(140.73833757421545, 65.45759117896523)",2358
3,"(16.14567266495287, 153.89974293059126)",1167
4,"(223.2114835948645, 158.41369472182598)",2804
5,"(89.48984526112186, 151.8404255319149)",2068
6,"(179.76360225140712, 319.2917448405253)",1066
7,"(228.60896637608965, 359.30759651307596)",803
8,"(714.6730669434354, 389.1022314478464)",1927
9,"(126.85545722713864, 408.086529006883)",1017
10,"(191.21964285714284, 431.36875)",1120
11,"(384.57894736842104, 442.4607287449393)",1235
12,"(564.7724867724868, 454.2387566137566)",1512
13,"(466.94449188727583, 451.9666951323655)",1171
14,"(60.34324553950722, 464.85471537807985)",1177
15,"(573.5158227848101, 505.6835443037975)",1580
16,"(457.1812244897959, 505.9779591836735)",1225
17,"(491.0887705281846, 600.8597425654683)",2253
18,"(789.5961844197138, 600.1192368839428)",629
19,"(591.929203539823, 617.2141592920354)",1130
20,"(735.0841013824885, 609.4032258064516)",868
21,"(447.57142857142856, 596.5714285714286)",35
22,"(58.27116935483871, 633.5907258064516)",992
23,"(672.8387096774194, 702.9612903225807)",155
24,"(767.5269499048827, 728.28027901078)",1577
25,"(105.57608695652173, 737.4815217391305)",920
26,"(840.0446271285966, 762.271873165003)",1703
27,"(193.10800744878958, 771.6061452513967)",1074
28,"(699.9067524115756, 803.7755627009647)",1555
29,"(112.80023640661939, 836.8144208037825)",846
30,"(774.1607347876004, 883.6854190585534)",871
31,"(461.5928698752228, 893.7632798573975)",2805
32,"(99.41325966850829, 886.2243093922652)",905
33,"(844.8605633802817, 912.1732394366197)",710
34,"(645.725625539258, 929.5573770491803)",1159
35,"(133.5, 936.0)",40
36,"(729.2007822685789, 969.0938722294654)",767
37,"(20.145833333333332, 979.8915229885057)",1392
38,"(866.9234375, 988.6421875)",640
39,"(747.0, 1022.0)",27
1,"(57.88973868706182, 33.41236456341619)",1569
2,"(141.8256842105263, 64.96926315789473)",2375
3,"(222.99205252246026, 158.0)",2894
4,"(14.547094188376754, 151.49098196392785)",998
5,"(90.15269025690742, 150.82404265632573)",2063
6,"(180.4898336414048, 319.5536044362292)",1082
7,"(229.3399258343634, 358.84177997527814)",809
8,"(717.8722867238769, 373.6244321049975)",1981
9,"(125.82254901960785, 408.9774509803922)",1020
10,"(191.0579185520362, 431.5809954751131)",1105
11,"(385.2394822006473, 441.9765372168285)",1236
12,"(566.9114583333334, 449.7786458333333)",1536
13,"(468.0947459086994, 451.4935400516796)",1161
14,"(60.4180602006689, 464.01421404682276)",1196
15,"(572.5418994413408, 503.7219118559901)",1611
16,"(455.01389961389964, 505.44169884169884)",1295
17,"(493.3781553398058, 600.6970873786407)",2060
18,"(789.7756714060032, 600.4360189573459)",633
19,"(592.3071613459879, 615.4805867126834)",1159
20,"(735.5266594124048, 610.335146898803)",919
21,"(55.331758034026464, 633.8223062381852)",1058
22,"(671.3412698412699, 701.8333333333334)",126
23,"(767.3847125710676, 728.9671509791535)",1583
24,"(103.09575625680087, 738.4994559303591)",919
25,"(839.1814187068425, 755.6848713119899)",1593
26,"(193.1942379182156, 771.1171003717473)",1076
27,"(702.3253316487682, 802.6146557169931)",1583
28,"(114.70133010882708, 838.4087061668682)",827
29,"(461.5301204819277, 891.7774627923459)",2822
30,"(774.9447640966629, 883.9424626006904)",869
31,"(98.9582875960483, 886.9824368825466)",911
32,"(844.9537572254335, 912.6560693641618)",692
33,"(646.0327144120248, 930.1564986737401)",1131
34,"(733.1302083333334, 968.7018229166666)",768
35,"(21.546941678520625, 979.1948790896159)",1406
36,"(866.7399380804953, 988.7523219814242)",646
37,"(748.5, 1022.0)",18
1,"(58.28258064516129, 33.18967741935484)",1550
2,"(142.34664326458974, 65.98200965335674)",2279
3,"(11.718990120746433, 151.96048298572995)",911
4,"(219.7602189781022, 157.27846715328468)",2740
5,"(89.4510843373494, 152.43518072289157)",2075
6,"(179.524379024839, 322.3707451701932)",1087
7,"(230.29514321295144, 358.5031133250311)",803
8,"(718.8145207033466, 360.5842314237096)",1763
9,"(126.23025048169556, 409.3053949903661)",1038
10,"(190.4131736526946, 431.32249786142)",1169
11,"(385.67488076311605, 444.01589825119237)",1258
12,"(566.2277777777778, 451.16543209876545)",1620
13,"(467.9131474103586, 453.0310756972112)",1255
14,"(60.565, 466.6166666666667)",1200
15,"(571.1047337278106, 503.14497041420117)",1690
16,"(455.4462444771723, 505.5662739322533)",1358
17,"(493.5824493731919, 600.7902603664417)",2074
18,"(789.7397476340694, 601.4731861198738)",634
19,"(591.9508890770534, 616.934801016088)",1181
20,"(735.8833151581243, 611.8287895310796)",917
21,"(440.0, 596.0)",25
22,"(55.482697426796804, 635.9352262644188)",1127
23,"(670.7304964539007, 701.2836879432624)",141
24,"(766.4934445768772, 729.3855780691299)",1678
25,"(100.82863113897596, 739.1306165099269)",957
26,"(838.8596713021492, 755.0303413400759)",1582
27,"(195.13145965548503, 770.6183136899365)",1103
28,"(704.0034344590727, 803.1562678878076)",1747
29,"(118.69383003492433, 840.2176949941793)",859
30,"(772.1477885652642, 884.0560949298813)",927
31,"(462.41367637102235, 892.6289776574137)",2954
32,"(98.6504329004329, 889.9123376623377)",924
33,"(847.2547425474255, 916.4552845528456)",738
34,"(647.0017123287671, 931.8030821917808)",1168
35,"(733.0940892641737, 969.692400482509)",829
36,"(24.090262970859985, 979.6730632551528)",1407
37,"(867.2065040650407, 994.2975609756097)",615
38,"(298.04651162790697, 990.2325581395348)",129
1,"(58.27633289986996, 32.84265279583875)",1538
2,"(142.51862828111769, 65.28916172734971)",2362
3,"(12.157387580299785, 149.83404710920772)",934
4,"(219.7979797979798, 154.53152211772903)",2871
5,"(88.99809069212411, 151.3326968973747)",2095
6,"(178.96548507462686, 322.34235074626866)",1072
7,"(718.8715259570005, 354.37860513896175)",1907
8,"(230.4130702836005, 356.77188655980274)",811
9,"(125.40609636184857, 408.55948869223204)",1017
10,"(190.36307961504812, 430.1793525809274)",1143
11,"(385.5456039441249, 443.07888249794576)",1217
12,"(570.0279761904762, 475.1434523809524)",3360
13,"(468.8562596599691, 451.7921174652241)",1294
14,"(62.491497975708505, 466.32226720647776)",1235
15,"(455.47913561847986, 503.6758569299553)",1342
16,"(494.19283190307925, 599.2746087834427)",1981
17,"(789.9662379421222, 598.3424437299035)",622
18,"(593.1177489177489, 615.0640692640693)",1155
19,"(528.0, 595.0)",47
20,"(737.2345971563981, 612.0936018957347)",844
21,"(56.51631477927064, 635.1602687140115)",1042
22,"(671.1949685534591, 701.6729559748428)",159
23,"(766.5892537313433, 728.8979104477612)",1675
24,"(100.10475161987041, 738.0896328293736)",926
25,"(837.9596628537026, 754.944611679711)",1661
26,"(195.76654411764707, 768.7316176470588)",1088
27,"(704.443008225617, 803.3454759106933)",1702
28,"(122.41203703703704, 842.5069444444445)",864
29,"(771.4843945068665, 880.7141073657928)",801
30,"(463.2218297421406, 890.2575061815613)",2831
31,"(92.82560706401766, 896.3333333333334)",906
32,"(848.9338028169014, 913.9338028169014)",710
33,"(647.1907356948229, 930.3115349682107)",1101
34,"(733.9758269720102, 968.9173027989822)",786
35,"(24.223597960670066, 978.4989075018208)",1373
36,"(867.4400715563506, 994.2701252236136)",559
37,"(287.0, 998.0)",25
38,"(748.0, 1022.0)",21
1,"(57.439553219448094, 31.794349540078844)",1522
2,"(142.1187957689178, 64.86167615947925)",2458
3,"(218.35454859910067, 152.39916983742648)",2891
4,"(12.28, 149.75222222222223)",900
5,"(87.60925925925926, 151.01666666666668)",2160
6,"(179.10055865921788, 321.44227188081936)",1074
7,"(716.8688106176621, 345.51046452271567)",1959
8,"(230.05333333333334, 356.96363636363634)",825
9,"(123.00097943192948, 408.5954946131244)",1021
10,"(190.02389380530974, 429.2221238938053)",1130
11,"(570.2795899347624, 474.0838769804287)",3219
12,"(384.4038759689922, 443.46046511627907)",1290
13,"(467.51065509076557, 450.602999210734)",1267
14,"(63.752, 466.7488)",1250
15,"(456.3181126331811, 502.869101978691)",1314
16,"(494.2272952853598, 597.7995037220844)",2015
17,"(1021.5483870967741, 569.7258064516129)",62
18,"(789.8459069020867, 594.9646869983949)",623
19,"(591.092386655261, 614.7690333618477)",1169
20,"(736.59630911188, 611.8050749711649)",867
21,"(58.78917910447761, 635.3255597014926)",1072
22,"(671.7721518987341, 703.4620253164557)",158
23,"(766.1245593419507, 727.1339600470035)",1702
24,"(98.76914778856526, 736.3538295577131)",927
25,"(839.3388535031847, 759.5961783439491)",1570
26,"(194.71206581352834, 767.4862888482633)",1094
27,"(701.1864969562811, 802.907028223575)",1807
28,"(124.30952380952381, 843.0119047619048)",840
29,"(462.78915046059365, 888.9164107813033)",2931
30,"(768.0648769574944, 885.0078299776286)",894
31,"(84.6083608360836, 903.1375137513751)",909
32,"(845.0648734177215, 912.3892405063291)",632
33,"(643.9556344276841, 929.8642413487134)",1127
34,"(734.4709371293001, 967.4246737841044)",843
35,"(23.664776754075124, 978.6683203401843)",1411
36,"(865.3388554216867, 993.2138554216867)",664
37,"(747.0, 1021.625)",48
1,"(57.70592149035263, 32.84098469727212)",1503
2,"(142.83228840125392, 66.39380877742947)",2552
3,"(219.12753433616743, 152.58829300196206)",3058
4,"(12.277839029768467, 151.64939360529218)",907
5,"(87.19798350137489, 151.5013748854262)",2182
6,"(179.40896860986547, 323.81434977578476)",1115
7,"(717.3010256410256, 336.96)",1950
8,"(230.20541205412053, 358.3419434194342)",813
9,"(122.22766570605188, 409.447646493756)",1041
10,"(190.63644366197184, 430.79841549295776)",1136
11,"(574.7631763879128, 444.28952916373856)",1423
12,"(385.4402924451665, 446.6969943135662)",1231
13,"(468.9927360774818, 452.0524616626312)",1239
14,"(65.36777178103316, 467.9814957594449)",1297
15,"(569.4954184483812, 503.1111789859499)",1637
16,"(457.4133738601824, 503.70288753799394)",1316
17,"(494.429471643238, 599.7043141056713)",2063
18,"(1020.8888888888889, 574.468253968254)",126
19,"(790.7805642633228, 595.141065830721)",638
20,"(529.0, 592.0)",25
21,"(591.6570458404075, 615.7198641765705)",1178
22,"(736.8512585812357, 613.3077803203661)",874
23,"(63.34153543307087, 634.1102362204724)",1016
24,"(671.7916666666666, 709.2333333333333)",240
25,"(765.6856978085352, 729.2220299884659)",1734
26,"(97.68017524644031, 736.5980284775466)",913
27,"(197.05688073394495, 767.9)",1090
28,"(846.8380566801619, 768.2651821862348)",1482
29,"(698.3562775330397, 805.3672907488987)",1816
30,"(126.78224852071006, 841.9313609467456)",845
31,"(463.7268162035487, 890.2591228657516)",2987
32,"(770.8955555555556, 886.1088888888889)",900
33,"(843.8689320388349, 910.6618122977346)",618
34,"(79.80590238365494, 910.2485811577752)",881
35,"(643.9009725906278, 931.4862953138816)",1131
36,"(734.1849234393404, 967.9681978798586)",849
37,"(22.845885634588562, 980.9546722454672)",1434
38,"(862.7377049180328, 993.2116244411326)",671
39,"(296.7244094488189, 993.2440944881889)",127
40,"(746.5, 1022.0)",24
1,"(56.17215870880968, 32.36180228648285)",1487
2,"(141.9936533121777, 65.48988496628323)",2521
3,"(218.39444256184345, 148.2202643171806)",2951
